ranking,lon,lat,company,industry,state,city
200,-74.0059,40.7128,Omnicom Group,Advertising  marketing,NY,New York
201,-87.7878,42.0698,Illinois Tool Works,Industrial Machinery,IL,Glenview
202,-92.6663,33.2076,Murphy USA,Specialty Retailers: Other,AR,El Dorado
203,-93.1566,45.0502,Land O'Lakes,Food Consumer Products,MN,Arden Hills
204,-106.442,31.7776,Western Refining,Petroleum Refining,TX,El Paso
205,-117.795,33.6839,Western Digital,Computer Peripherals,CA,Irvine
206,-81.519,41.0814,FirstEnergy,Utilities: Gas and Electric,OH,Akron
207,-75.1652,39.9526,Aramark,Diversified Outsourcing Services,PA,Philadelphia
208,-104.988,39.6478,DISH Network,Telecommunications,CO,Englewood
209,-115.14,36.1699,Las Vegas Sands,Hotels  Casinos  Resorts,NV,Las Vegas
210,-85.1797,42.3212,Kellogg,Food Consumer Products,MI,Battle Creek
211,-74.0059,40.7128,Loews,Insurance: Property and Casualty (Stock),NY,New York
212,-74.0059,40.7128,CBS,Entertainment,NY,New York
213,-93.09,44.9537,Ecolab,Chemicals,MN,St. Paul
214,-97.7431,30.2672,Whole Foods Market,Food and Drug Stores,TX,Austin
215,-74.5005,40.6342,Chubb,Insurance: Property and Casualty (Stock),NJ,Warren
216,-118.609,34.1654,Health Net,Health Care: Insurance and Managed Care,CA,Woodland Hills
217,-95.3698,29.7604,Waste Management,Waste Management,TX,Houston
218,-95.3698,29.7604,Apache,Mining  Crude-Oil Production,TX,Houston
219,-71.4128,41.824,Textron,Aerospace and Defense,RI,Providence
220,-121.989,37.5483,Synnex,Wholesalers: Electronics and Office Equipment,CA,Fremont
221,-77.0947,38.9847,Marriott International,Hotels  Casinos  Resorts,MD,Bethesda
222,-74.0059,40.7128,Viacom,Entertainment,NY,New York
223,-75.3599,40.0462,Lincoln National,Insurance: Life  Health (stock),PA,Radnor
224,-122.332,47.6062,Nordstrom,General Merchandisers,WA,Seattle
225,-93.4708,44.8547,C.H. Robinson Worldwide,Transportation and Logistics,MN,Eden Prairie
226,-118.073,34.0806,Edison International,Utilities: Gas and Electric,CA,Rosemead
227,-95.3698,29.7604,Marathon Oil,Mining  Crude-Oil Production,TX,Houston
228,-85.7585,38.2527,Yum Brands,Food Services,KY,Louisville
229,-77.1711,38.8823,Computer Sciences,Information Technology Services,VA,Falls Church
230,-81.6944,41.4993,Parker-Hannifin,Industrial Machinery,OH,Cleveland
231,-104.99,39.7392,DaVita HealthCare Partners,Health Care: Medical Facilities,CO,Denver
232,-77.436,37.5407,CarMax,Automotive Retailing  Services,VA,Richmond
233,-96.797,32.7767,Texas Instruments,Semiconductors and Other Electronic Components,TX,Dallas
234,-82.4572,27.9506,WellCare Health Plans,Health Care: Insurance and Managed Care,FL,Tampa
235,-74.0059,40.7128,Marsh & McLennan,Diversified Financials,NY,New York
236,-74.0059,40.7128,Consolidated Edison,Utilities: Gas and Electric,NY,New York
237,-95.9928,36.154,Oneok,Pipelines,OK,Tulsa
238,-122.271,37.5585,Visa,Financial Data Services,CA,Foster City
239,-118.145,34.1478,Jacobs Engineering Group,Engineering  Construction,CA,Pasadena
240,-81.6557,30.3322,CSX,Railroads,FL,Jacksonville
241,-90.0715,29.9511,Entergy,Utilities: Gas and Electric,LA,New Orleans
242,-122.182,37.453,Facebook,Internet Services and Retailing,CA,Menlo Park
243,-77.436,37.5407,Dominion Resources,Utilities: Gas and Electric,VA,Richmond
244,-74.0059,40.7128,Leucadia National,Food Production,NY,New York
245,-74.2765,40.9254,Toys R Us,Specialty Retailers: Other,NJ,Wayne
246,-83.0458,42.3314,DTE Energy,Utilities: Gas and Electric,MI,Detroit
247,-93.265,44.9778,Ameriprise Financial,Diversified Financials,MN,Minneapolis
248,-79.792,36.0726,VF,Apparel,NC,Greensboro
249,-73.454,41.3948,Praxair,Chemicals,CT,Danbury
250,-96.6989,33.0198,J.C. Penney,General Merchandisers,TX,Plano
251,-74.2938,40.8207,Automatic Data Processing,Diversified Outsourcing Services,NJ,Roseland
252,-74.0059,40.7128,L-3 Communications,Aerospace and Defense,NY,New York
253,-87.9654,42.2393,CDW,Information Technology Services,IL,Vernon Hills
254,-74.0059,40.7128,Guardian Life Ins. Co. of America,Insurance: Life  Health (Mutual),NY,New York
255,-93.265,44.9778,Xcel Energy,Utilities: Gas and Electric,MN,Minneapolis
256,-76.2859,36.8508,Norfolk Southern,Railroads,VA,Norfolk
257,-75.4902,40.6084,PPL,Utilities: Gas and Electric,PA,Allentown
258,-87.6298,41.8781,R.R. Donnelley & Sons,Publishing  Printing,IL,Chicago
259,-111.891,40.7608,Huntsman,Chemicals,UT,Salt Lake City
260,-74.2632,40.6976,Bed Bath & Beyond,Specialty Retailers: Other,NJ,Union
261,-72.7795,41.6612,Stanley Black & Decker,Home Equipment  Furnishings,CT,New Britain
262,-82.9988,39.9612,L Brands,Specialty Retailers: Apparel,OH,Columbus
263,-104.988,39.6478,Liberty Interactive,Internet Services and Retailing,CO,Englewood
264,-118.609,34.1654,Farmers Insurance Exchange,Insurance: Property and Casualty (Mutual),CA,Woodland Hills
265,-84.388,33.749,First Data,Financial Data Services,GA,Atlanta
266,-81.6944,41.4993,Sherwin-Williams,Chemicals,OH,Cleveland
267,-74.0059,40.7128,BlackRock,Securities,NY,New York
268,-74.0059,40.7128,Voya Financial,Insurance: Life  Health (stock),NY,New York
269,-121.936,37.7022,Ross Stores,Specialty Retailers: Apparel,CA,Dublin
270,-117.161,32.7157,Sempra Energy,Utilities: Gas and Electric,CA,San Diego
271,-74.0059,40.7128,Estee Lauder,Household and Personal Products,NY,New York
272,-79.9959,40.4406,H.J. Heinz,Food Consumer Products,PA,Pittsburgh
273,-90.5771,38.6631,Reinsurance Group of America,Insurance: Life  Health (stock),MO,Chesterfield
274,-74.1724,40.7357,Public Service Enterprise Group,Utilities: Gas and Electric,NJ,Newark
275,-95.3698,29.7604,Cameron International,Oil and Gas Equipment  Services,TX,Houston
276,-88.0748,41.8011,Navistar International,Motor Vehicles and Parts,IL,Lisle
277,-98.4936,29.4241,CST Brands,Specialty Retailers: Other,TX,San Antonio
278,-71.0589,42.3601,State Street Corp.,Commercial Banks,MA,Boston
279,-85.3097,35.0456,Unum Group,Insurance: Life  Health (stock),TN,Chattanooga
280,-77.1773,38.9339,Hilton Worldwide Holdings,Hotels  Casinos  Resorts,VA,McLean
281,-80.7237,35.1168,Family Dollar Stores,General Merchandisers,NC,Matthews
282,-93.6091,41.6005,Principal Financial,Insurance: Life  Health (stock),IA,Des Moines
283,-118.244,34.0522,Reliance Steel & Aluminum,Metals,CA,Los Angeles
284,-75.4902,40.6084,Air Products & Chemicals,Chemicals,PA,Allentown
285,-74.0059,40.7128,Assurant,Insurance: Property and Casualty (Stock),NY,New York
286,-95.998,41.2524,Peter Kiewit Sons',Engineering  Construction,NE,Omaha
287,-73.4151,40.7934,Henry Schein,Wholesalers: Health Care,NY,Melville
288,-74.0117,40.8932,Cognizant Technology Solutions,Information Technology Services,NJ,Teaneck
289,-115.14,36.1699,MGM Resorts International,Hotels  Casinos  Resorts,NV,Las Vegas
290,-87.8406,42.2586,W.W. Grainger,Wholesalers: Diversified,IL,Lake Forest
291,-95.3698,29.7604,Group 1 Automotive,Automotive Retailing  Services,TX,Houston
292,-80.2442,36.0999,BB&T Corp.,Commercial Banks,NC,Winston-Salem
293,-84.2135,33.9412,Rock-Tenn,Packaging  Containers,GA,Norcross
294,-79.9414,37.271,Advance Auto Parts,Specialty Retailers: Other,VA,Roanoke
295,-83.0458,42.3314,Ally Financial,Commercial Banks,MI,Detroit
296,-84.1446,34.0029,AGCO,Construction and Farm Machinery,GA,Duluth
297,-77.0547,42.1429,Corning,Network and Other Communications Equipment,NY,Corning
298,-71.1097,42.3736,Biogen,Pharmaceuticals,MA,Cambridge
299,-95.9928,36.154,NGL Energy Partners,Wholesalers: Diversified,OK,Tulsa
300,-85.5872,42.2917,Stryker,Medical Products and Equipment,MI,Kalamazoo
301,-118.194,33.7701,Molina Healthcare,Health Care: Insurance and Managed Care,CA,Long Beach
302,-122.676,45.5231,Precision Castparts,Aerospace and Defense,OR,Portland
303,-87.897,42.1675,Discover Financial Services,Commercial Banks,IL,Riverwoods
304,-77.436,37.5407,Genworth Financial,Insurance: Life  Health (stock),VA,Richmond
305,-82.5618,36.5484,Eastman Chemical,Chemicals,TN,Kingsport
306,-96.797,32.7767,Dean Foods,Food Consumer Products,TX,Dallas
307,-90.049,35.1495,AutoZone,Specialty Retailers: Other,TN,Memphis
308,-73.7146,41.0409,MasterCard,Financial Data Services,NY,Purchase
309,-77.3733,37.6088,Owens & Minor,Wholesalers: Health Care,VA,Mechanicsville
310,-92.9746,43.6666,Hormel Foods,Food Consumer Products,MN,Austin
311,-97.0781,32.9343,GameStop,Specialty Retailers: Other,TX,Grapevine
312,-83.2341,42.6875,Autoliv,Motor Vehicles and Parts,MI,Auburn Hills
313,-95.3698,29.7604,CenterPoint Energy,Utilities: Gas and Electric,TX,Houston
314,-81.6557,30.3322,Fidelity National Financial,Insurance: Property and Casualty (Stock),FL,Jacksonville
315,-80.8431,35.2271,Sonic Automotive,Automotive Retailing  Services,NC,Charlotte
316,-84.388,33.749,HD Supply Holdings,Wholesalers: Diversified,GA,Atlanta
317,-73.5387,41.0534,Charter Communications,Telecommunications,CT,Stamford
318,-75.1652,39.9526,Crown Holdings,Packaging  Containers,PA,Philadelphia
319,-121.955,37.3541,Applied Materials,Semiconductors and Other Electronic Components,CA,Santa Clara
320,-93.4555,45.0105,Mosaic,Chemicals,MN,Plymouth
321,-118.244,34.0522,CBRE Group,Real estate,CA,Los Angeles
322,-74.0059,40.7128,Avon Products,Household and Personal Products,NY,New York
323,-112.074,33.4484,Republic Services,Waste Management,AZ,Phoenix
324,-75.3836,40.1013,Universal Health Services,Health Care: Medical Facilities,PA,King of Prussia
325,-81.3792,28.5383,Darden Restaurants,Food Services,FL,Orlando
326,-85.1394,41.0793,Steel Dynamics,Metals,IN,Fort Wayne
327,-84.388,33.749,SunTrust Banks,Commercial Banks,GA,Atlanta
328,-115.14,36.1699,Caesars Entertainment,Hotels  Casinos  Resorts,NV,Las Vegas
329,-95.3698,29.7604,Targa Resources,Pipelines,TX,Houston
330,-76.2875,36.7682,Dollar Tree,Specialty Retailers: Other,VA,Chesapeake
331,-74.0059,40.7128,News Corp.,Publishing  Printing,NY,New York
332,-105.087,39.9205,Ball,Packaging  Containers,CO,Broomfield
333,-93.265,44.9778,Thrivent Financial for Lutherans,Insurance: Life  Health (Mutual),MN,Minneapolis
334,-83.2697,42.2409,Masco,Home Equipment  Furnishings,MI,Taylor
335,-122.326,37.563,Franklin Resources,Securities,CA,San Mateo
336,-74.4174,40.8653,Avis Budget Group,Automotive Retailing  Services,NJ,Parsippany
337,-80.2442,36.0999,Reynolds American,Tobacco,NC,Winston-Salem
338,-74.2057,41.0168,Becton Dickinson,Medical Products and Equipment,NJ,Franklin Lakes
339,-73.4082,41.1177,Priceline Group,Internet Services and Retailing,CT,Norwalk
340,-117.795,33.6839,Broadcom,Semiconductors and Other Electronic Components,CA,Irvine
341,-87.8406,42.2586,Tenneco,Motor Vehicles and Parts,IL,Lake Forest
342,-75.1196,39.9259,Campbell Soup,Food Consumer Products,NJ,Camden
343,-118.244,34.0522,AECOM,Engineering  Construction,CA,Los Angeles
344,-83.4838,42.2203,Visteon,Motor Vehicles and Parts,MI,Van Buren Township
345,-86.7828,36.0331,Delek US Holdings,Petroleum Refining,TN,Brentwood
346,-88.0112,41.8089,Dover,Industrial Machinery,IL,Downers Grove
347,-83.2341,42.6875,BorgWarner,Motor Vehicles and Parts,MI,Auburn Hills
348,-80.1289,26.3683,Jarden,Home Equipment  Furnishings,FL,Boca Raton
349,-75.3836,40.1013,UGI,Energy,PA,King of Prussia
350,-92.6663,33.2076,Murphy Oil,Mining  Crude-Oil Production,AR,El Dorado
351,-74.0059,40.7128,PVH,Apparel,NY,New York
352,-122.408,37.6547,Core-Mark Holding,Wholesalers: Food and Grocery,CA,South San Francisco
353,-95.3698,29.7604,Calpine,Energy,TX,Houston
354,-97.3308,32.7555,D.R. Horton,Homebuilders,TX,Fort Worth
355,-122.313,47.3223,Weyerhaeuser,Forest and Paper Products,WA,Federal Way
356,-74.0059,40.7128,KKR,Securities,NY,New York
357,-95.3698,29.7604,FMC Technologies,Oil and Gas Equipment  Services,TX,Houston
